Provenances,statuses__metadata__iso_language_code,statuses__metadata__result_type,statuses__created_at,statuses__id,statuses__id_str,statuses__text,statuses__source,statuses__truncated,statuses__in_reply_to_status_id,statuses__in_reply_to_status_id_str,statuses__in_reply_to_user_id,statuses__in_reply_to_user_id_str,statuses__in_reply_to_screen_name,statuses__user__id,statuses__user__id_str,statuses__user__name,statuses__user__screen_name,statuses__user__location,statuses__user__description,statuses__user__url,statuses__user__entities__|,statuses__user__entities__|__urls__url,statuses__user__entities__|__urls__expanded_url,statuses__user__entities__|__urls__display_url,statuses__user__entities__|__urls__indices__001,statuses__user__entities__|__urls__indices__002,statuses__user__entities__url__urls__url,statuses__user__entities__url__urls__expanded_url,statuses__user__entities__url__urls__display_url,statuses__user__entities__url__urls__indices__001,statuses__user__entities__url__urls__indices__002,statuses__user__protected,statuses__user__followers_count,statuses__user__friends_count,statuses__user__listed_count,statuses__user__created_at,statuses__user__favourites_count,statuses__user__utc_offset,statuses__user__time_zone,statuses__user__geo_enabled,statuses__user__verified,statuses__user__statuses_count,statuses__user__lang,statuses__user__contributors_enabled,statuses__user__is_translator,statuses__user__is_translation_enabled,statuses__user__profile_background_color,statuses__user__profile_background_image_url,statuses__user__profile_background_image_url_https,statuses__user__profile_background_tile,statuses__user__profile_image_url,statuses__user__profile_image_url_https,statuses__user__profile_banner_url,statuses__user__profile_link_color,statuses__user__profile_sidebar_border_color,statuses__user__profile_sidebar_fill_color,statuses__user__profile_text_color,statuses__user__profile_use_background_image,statuses__user__has_extended_profile,statuses__user__default_profile,statuses__user__default_profile_image,statuses__user__following,statuses__user__follow_request_sent,statuses__user__notifications,statuses__geo,statuses__coordinates,statuses__place__id,statuses__place__url,statuses__place__place_type,statuses__place__name,statuses__place__full_name,statuses__place__country_code,statuses__place__country,statuses__place__bounding_box__type,statuses__place__bounding_box__coordinates__001,statuses__place__bounding_box__coordinates__002,statuses__place,statuses__contributors,statuses__quoted_status_id,statuses__quoted_status_id_str,statuses__quoted_status__metadata__iso_language_code,statuses__quoted_status__metadata__result_type,statuses__quoted_status__created_at,statuses__quoted_status__id,statuses__quoted_status__id_str,statuses__quoted_status__text,statuses__quoted_status__source,statuses__quoted_status__truncated,statuses__quoted_status__in_reply_to_status_id,statuses__quoted_status__in_reply_to_status_id_str,statuses__quoted_status__in_reply_to_user_id,statuses__quoted_status__in_reply_to_user_id_str,statuses__quoted_status__in_reply_to_screen_name,statuses__quoted_status__user__id,statuses__quoted_status__user__id_str,statuses__quoted_status__user__name,statuses__quoted_status__user__screen_name,statuses__quoted_status__user__location,statuses__quoted_status__user__description,statuses__quoted_status__user__url,statuses__quoted_status__user__entities__url__urls__url,statuses__quoted_status__user__entities__url__urls__expanded_url,statuses__quoted_status__user__entities__url__urls__display_url,statuses__quoted_status__user__entities__url__urls__indices__001,statuses__quoted_status__user__entities__url__urls__indices__002,statuses__quoted_status__user__protected,statuses__quoted_status__user__followers_count,statuses__quoted_status__user__friends_count,statuses__quoted_status__user__listed_count,statuses__quoted_status__user__created_at,statuses__quoted_status__user__favourites_count,statuses__quoted_status__user__utc_offset,statuses__quoted_status__user__time_zone,statuses__quoted_status__user__geo_enabled,statuses__quoted_status__user__verified,statuses__quoted_status__user__statuses_count,statuses__quoted_status__user__lang,statuses__quoted_status__user__contributors_enabled,statuses__quoted_status__user__is_translator,statuses__quoted_status__user__is_translation_enabled,statuses__quoted_status__user__profile_background_color,statuses__quoted_status__user__profile_background_image_url,statuses__quoted_status__user__profile_background_image_url_https,statuses__quoted_status__user__profile_background_tile,statuses__quoted_status__user__profile_image_url,statuses__quoted_status__user__profile_image_url_https,statuses__quoted_status__user__profile_banner_url,statuses__quoted_status__user__profile_link_color,statuses__quoted_status__user__profile_sidebar_border_color,statuses__quoted_status__user__profile_sidebar_fill_color,statuses__quoted_status__user__profile_text_color,statuses__quoted_status__user__profile_use_background_image,statuses__quoted_status__user__has_extended_profile,statuses__quoted_status__user__default_profile,statuses__quoted_status__user__default_profile_image,statuses__quoted_status__user__following,statuses__quoted_status__user__follow_request_sent,statuses__quoted_status__user__notifications,statuses__quoted_status__geo,statuses__quoted_status__coordinates,statuses__quoted_status__place,statuses__quoted_status__contributors,statuses__quoted_status__is_quote_status,statuses__quoted_status__retweet_count,statuses__quoted_status__favorite_count,statuses__quoted_status__entities__urls__url,statuses__quoted_status__entities__urls__expanded_url,statuses__quoted_status__entities__urls__display_url,statuses__quoted_status__entities__urls__indices__001,statuses__quoted_status__entities__urls__indices__002,statuses__quoted_status__favorited,statuses__quoted_status__retweeted,statuses__quoted_status__possibly_sensitive,statuses__quoted_status__lang,statuses__retweeted_status__metadata__iso_language_code,statuses__retweeted_status__metadata__result_type,statuses__retweeted_status__created_at,statuses__retweeted_status__id,statuses__retweeted_status__id_str,statuses__retweeted_status__text,statuses__retweeted_status__source,statuses__retweeted_status__truncated,statuses__retweeted_status__in_reply_to_status_id,statuses__retweeted_status__in_reply_to_status_id_str,statuses__retweeted_status__in_reply_to_user_id,statuses__retweeted_status__in_reply_to_user_id_str,statuses__retweeted_status__in_reply_to_screen_name,statuses__retweeted_status__user__id,statuses__retweeted_status__user__id_str,statuses__retweeted_status__user__name,statuses__retweeted_status__user__screen_name,statuses__retweeted_status__user__location,statuses__retweeted_status__user__description,statuses__retweeted_status__user__url,statuses__retweeted_status__user__entities__url__urls__url,statuses__retweeted_status__user__entities__url__urls__expanded_url,statuses__retweeted_status__user__entities__url__urls__display_url,statuses__retweeted_status__user__entities__url__urls__indices__001,statuses__retweeted_status__user__entities__url__urls__indices__002,statuses__retweeted_status__user__protected,statuses__retweeted_status__user__followers_count,statuses__retweeted_status__user__friends_count,statuses__retweeted_status__user__listed_count,statuses__retweeted_status__user__created_at,statuses__retweeted_status__user__favourites_count,statuses__retweeted_status__user__utc_offset,statuses__retweeted_status__user__time_zone,statuses__retweeted_status__user__geo_enabled,statuses__retweeted_status__user__verified,statuses__retweeted_status__user__statuses_count,statuses__retweeted_status__user__lang,statuses__retweeted_status__user__contributors_enabled,statuses__retweeted_status__user__is_translator,statuses__retweeted_status__user__is_translation_enabled,statuses__retweeted_status__user__profile_background_color,statuses__retweeted_status__user__profile_background_image_url,statuses__retweeted_status__user__profile_background_image_url_https,statuses__retweeted_status__user__profile_background_tile,statuses__retweeted_status__user__profile_image_url,statuses__retweeted_status__user__profile_image_url_https,statuses__retweeted_status__user__profile_banner_url,statuses__retweeted_status__user__profile_link_color,statuses__retweeted_status__user__profile_sidebar_border_color,statuses__retweeted_status__user__profile_sidebar_fill_color,statuses__retweeted_status__user__profile_text_color,statuses__retweeted_status__user__profile_use_background_image,statuses__retweeted_status__user__has_extended_profile,statuses__retweeted_status__user__default_profile,statuses__retweeted_status__user__default_profile_image,statuses__retweeted_status__user__following,statuses__retweeted_status__user__follow_request_sent,statuses__retweeted_status__user__notifications,statuses__retweeted_status__geo,statuses__retweeted_status__coordinates,statuses__retweeted_status__place,statuses__retweeted_status__contributors,statuses__retweeted_status__is_quote_status,statuses__retweeted_status__retweet_count,statuses__retweeted_status__favorite_count,statuses__retweeted_status__entities__hashtags__text,statuses__retweeted_status__entities__hashtags__indices__001,statuses__retweeted_status__entities__hashtags__indices__002,statuses__retweeted_status__entities__urls__url,statuses__retweeted_status__entities__urls__expanded_url,statuses__retweeted_status__entities__urls__display_url,statuses__retweeted_status__entities__urls__indices__001,statuses__retweeted_status__entities__urls__indices__002,statuses__retweeted_status__entities__media__id,statuses__retweeted_status__entities__media__id_str,statuses__retweeted_status__entities__media__indices__001,statuses__retweeted_status__entities__media__indices__002,statuses__retweeted_status__entities__media__media_url,statuses__retweeted_status__entities__media__media_url_https,statuses__retweeted_status__entities__media__url,statuses__retweeted_status__entities__media__display_url,statuses__retweeted_status__entities__media__expanded_url,statuses__retweeted_status__entities__media__type,statuses__retweeted_status__entities__media__sizes__|,statuses__retweeted_status__entities__media__sizes__|__w,statuses__retweeted_status__entities__media__sizes__|__h,statuses__retweeted_status__entities__media__sizes__|__resize,statuses__retweeted_status__favorited,statuses__retweeted_status__retweeted,statuses__retweeted_status__possibly_sensitive,statuses__retweeted_status__lang,statuses__is_quote_status,statuses__retweet_count,statuses__favorite_count,statuses__entities__user_mentions__screen_name,statuses__entities__user_mentions__name,statuses__entities__user_mentions__id,statuses__entities__user_mentions__id_str,statuses__entities__user_mentions__indices__001,statuses__entities__user_mentions__indices__002,statuses__entities__hashtags__text,statuses__entities__hashtags__indices__001,statuses__entities__hashtags__indices__002,statuses__entities__urls__url,statuses__entities__urls__expanded_url,statuses__entities__urls__display_url,statuses__entities__urls__indices__001,statuses__entities__urls__indices__002,statuses__entities__media__id,statuses__entities__media__id_str,statuses__entities__media__indices__001,statuses__entities__media__indices__002,statuses__entities__media__media_url,statuses__entities__media__media_url_https,statuses__entities__media__url,statuses__entities__media__display_url,statuses__entities__media__expanded_url,statuses__entities__media__type,statuses__entities__media__sizes__|,statuses__entities__media__sizes__|__w,statuses__entities__media__sizes__|__h,statuses__entities__media__sizes__|__resize,statuses__entities__media__source_status_id,statuses__entities__media__source_status_id_str,statuses__entities__media__source_user_id,statuses__entities__media__source_user_id_str,statuses__favorited,statuses__retweeted,statuses__possibly_sensitive,statuses__lang,search_metadata__completed_in,search_metadata__max_id,search_metadata__max_id_str,search_metadata__next_results,search_metadata__query,search_metadata__refresh_url,search_metadata__count,search_metadata__since_id,search_metadata__since_id_str
Twitter Search Recent Norovirus,en,recent,Thu Mar 03 18:21:01 +0000 2016,7.05E+17,7.05E+17,#Norovirus can spread rapidly through restaurants. Train your staff. Protect your customers: https://t.co/lxvwgEEX4E https://t.co/sSO5DyfTrT,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",FALSE,null,null,null,null,null,20468676,20468676,Steritech,Steritech,"Headquartered in Charlotte, NC","The Steritech Group, Inc. is the leading provider of specialized brand protection services in North America.",http://t.co/hX3iveLadO,,,,,,,http://t.co/hX3iveLadO,http://www.steritech.com,steritech.com,0,22,FALSE,634,222,14,Mon Feb 09 21:23:27 +0000 2009,430,-18000,Eastern Time (US & Canada),FALSE,FALSE,3002,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/378800000208299242/d0b67804a44d8a677062f00bcbdd46c5_normal.png,https://pbs.twimg.com/profile_images/378800000208299242/d0b67804a44d8a677062f00bcbdd46c5_normal.png,https://pbs.twimg.com/profile_banners/20468676/1414588596,0084B4,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,null,null,,,,,,,,,,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,0,,,,,,,Norovirus,0,10,https://t.co/lxvwgEEX4E,http://ow.ly/YRCYq,ow.ly/YRCYq,93,116,7.05E+17,7.05E+17,117,140,http://pbs.twimg.com/media/CcpKSKXW0AAxSN_.jpg,https://pbs.twimg.com/media/CcpKSKXW0AAxSN_.jpg,https://t.co/sSO5DyfTrT,pic.twitter.com/sSO5DyfTrT,http://twitter.com/Steritech/status/705457968029028358/photo/1,photo,thumb,150,150,crop,,,,,FALSE,FALSE,FALSE,en,0.116,7.05E+17,7.05E+17,?max_id=705445624523653119&q=norovirus&lang=en&include_entities=1,norovirus,?since_id=705457968029028358&q=norovirus&lang=en&include_entities=1,15,0,0
Twitter Search Recent Norovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,1024,512,fit,,,,,,,,,,,,,,,,,
Twitter Search Recent Norovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,600,300,fit,,,,,,,,,,,,,,,,,
Twitter Search Recent Norovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,340,170,fit,,,,,,,,,,,,,,,,,
Twitter Search Recent Norovirus,en,recent,Thu Mar 03 18:15:17 +0000 2016,7.05E+17,7.05E+17,"Tired of getting emails about this ""norovirus"" .... ????","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,null,null,null,null,null,264488220,264488220,lashanaaa,jenainai_,carolina girl. ,"the question isn't who is going to let me, it's who is going to stop me? ?",null,,,,,,,,,,,,FALSE,899,501,3,Sat Mar 12 00:25:19 +0000 2011,13824,-21600,Central Time (US & Canada),FALSE,FALSE,46080,en,FALSE,FALSE,FALSE,FFFFFF,http://pbs.twimg.com/profile_background_images/378800000108559483/dacd4546c2fdb44c54ddfd368694aa4f.jpeg,https://pbs.twimg.com/profile_background_images/378800000108559483/dacd4546c2fdb44c54ddfd368694aa4f.jpeg,FALSE,http://pbs.twimg.com/profile_images/701485350267576320/hBEXSTqD_normal.jpg,https://pbs.twimg.com/profile_images/701485350267576320/hBEXSTqD_normal.jpg,https://pbs.twimg.com/profile_banners/264488220/1455222594,ABB8C2,FFFFFF,FFFFFF,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,,,,,,,,,,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,en,,,,,,,,,
Twitter Search Recent Norovirus,en,recent,Thu Mar 03 18:07:42 +0000 2016,7.05E+17,7.05E+17,"@CruiseLaw @RoyalCaribbean Yes, cockroaches in analogy. RCCL not cursed. Norovirus not exclusive to cruises. Media at its worst.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,7.05E+17,7.05E+17,22433706,22433706,CruiseLaw,32412946,32412946,Tim Wood,TimWoodPulse,"Chapel Hill, NC","Editor-in-Chief, http://t.co/SRI8NLBaf0. Former sportswriter, reborn sports fan. Husband, father, TV addict.",http://t.co/5KcvnhaDR6,url,http://t.co/5KcvnhaDR6,http://travelpulse.com,travelpulse.com,0,22,,,,,,FALSE,1268,2226,49,Fri Apr 17 13:56:13 +0000 2009,11,-18000,Quito,TRUE,FALSE,2122,en,FALSE,FALSE,FALSE,9AE4E8,http://pbs.twimg.com/profile_background_images/34851399/family_2.jpg,https://pbs.twimg.com/profile_background_images/34851399/family_2.jpg,FALSE,http://pbs.twimg.com/profile_images/195304988/Tim_Chili_Man_normal.jpg,https://pbs.twimg.com/profile_images/195304988/Tim_Chili_Man_normal.jpg,,0084B4,BDDCAD,DDFFCC,333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,,,,,,,,,,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,0,CruiseLaw,James (Jim) Walker,22433706,22433706,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,en,,,,,,,,,
Twitter Search Recent Norovirus,,,,,,,,,,,,,,,,,,,,,description,http://t.co/SRI8NLBaf0,http://TravelPulse.com,TravelPulse.com,17,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RoyalCaribbean,Royal Caribbean,36144455,36144455,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Search Recent Norovirus,en,recent,Thu Mar 03 18:04:35 +0000 2016,7.05E+17,7.05E+17,Outbreaks of norovirus and mumps hit college campuses around the country. https://t.co/MRZdUY7CKn,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,null,null,null,null,null,17590421,17590421,MyCollegeCalendar,collegecalendar,San Francisco,"Free College Admission Planning Guide for Students, Parents, Educators and Professionals.",http://t.co/Ht95dutQA0,,,,,,,http://t.co/Ht95dutQA0,http://www.mycollegecalendar.org,mycollegecalendar.org,0,22,FALSE,4338,2163,211,Mon Nov 24 11:32:20 +0000 2008,4,-28800,Pacific Time (US & Canada),FALSE,FALSE,3553,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/608866758/mcc_logo_twitter_image_normal.png,https://pbs.twimg.com/profile_images/608866758/mcc_logo_twitter_image_normal.png,https://pbs.twimg.com/profile_banners/17590421/1410814690,0084B4,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,null,null,,,,,,,,,,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,0,,,,,,,,,,https://t.co/MRZdUY7CKn,http://tinyurl.com/zlzdgl2,tinyurl.com/zlzdgl2,74,97,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,en,,,,,,,,,
Twitter Search Recent Norovirus,en,recent,Thu Mar 03 18:03:26 +0000 2016,7.05E+17,7.05E+17,"RT @Ecolab: #Norovirus is very contagious, but you can minimize the spread with these best practices: https://t.co/cFfssZHQjb https://t.co/?","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,null,null,null,null,null,2846586023,2846586023,Jon Escott,EskyJ71,"Pontypool, Wales","Badminton Coach, love walking my dogs love cooking and a good red wine. Treat people as you would like to be treated! Ecolab Territory Manager - chemicals.",null,,,,,,,,,,,,FALSE,22,86,1,Mon Oct 27 11:52:13 +0000 2014,465,null,null,FALSE,FALSE,321,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/665541525753974785/dCpEd-md_normal.jpg,https://pbs.twimg.com/profile_images/665541525753974785/dCpEd-md_normal.jpg,,0084B4,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,null,null,,,,,,,,,,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,recent,Thu Mar 03 13:24:36 +0000 2016,7.05E+17,7.05E+17,"#Norovirus is very contagious, but you can minimize the spread with these best practices: https://t.co/cFfssZHQjb https://t.co/X5yPl4rJM3","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",FALSE,null,null,null,null,null,250684710,250684710,Ecolab,Ecolab,"Based in St.Paul, MN","Ecolab is the global leader in water, hygiene and energy technologies and services that provide clean water, safe food, abundant energy and healthy environments",http://t.co/l78vDvQJGQ,http://t.co/l78vDvQJGQ,http://www.ecolab.com,ecolab.com,0,22,FALSE,8641,1147,201,Fri Feb 11 15:58:53 +0000 2011,898,-21600,Central Time (US & Canada),FALSE,FALSE,2068,en,FALSE,FALSE,FALSE,4D4F53,http://pbs.twimg.com/profile_background_images/256253606/Ecolabtwitter-1280x800_1.jpg,https://pbs.twimg.com/profile_background_images/256253606/Ecolabtwitter-1280x800_1.jpg,TRUE,http://pbs.twimg.com/profile_images/1362242556/Slide1_normal.JPG,https://pbs.twimg.com/profile_images/1362242556/Slide1_normal.JPG,https://pbs.twimg.com/profile_banners/250684710/1400256650,4D4F53,FFFFFF,616365,FAFFFF,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,FALSE,7,5,Norovirus,0,10,https://t.co/cFfssZHQjb,http://bit.ly/1Sjqs45,bit.ly/1Sjqs45,90,113,7.05E+17,7.05E+17,114,137,http://pbs.twimg.com/media/CcoGcW6VAAIQzOh.jpg,https://pbs.twimg.com/media/CcoGcW6VAAIQzOh.jpg,https://t.co/X5yPl4rJM3,pic.twitter.com/X5yPl4rJM3,http://twitter.com/Ecolab/status/705383376316821504/photo/1,photo,large,1024,819,fit,FALSE,FALSE,FALSE,en,FALSE,7,0,Ecolab,Ecolab,250684710,250684710,3,10,Norovirus,12,22,https://t.co/cFfssZHQjb,http://bit.ly/1Sjqs45,bit.ly/1Sjqs45,102,125,7.05E+17,7.05E+17,126,140,http://pbs.twimg.com/media/CcoGcW6VAAIQzOh.jpg,https://pbs.twimg.com/media/CcoGcW6VAAIQzOh.jpg,https://t.co/X5yPl4rJM3,pic.twitter.com/X5yPl4rJM3,http://twitter.com/Ecolab/status/705383376316821504/photo/1,photo,large,1024,819,fit,7.05E+17,7.05E+17,250684710,250684710,FALSE,FALSE,FALSE,en,,,,,,,,,
Twitter Search Recent Norovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,,,,,,,
