Message ID,Keyword
7.06E+17,Bulldogs
7.06E+17,Dawgs
7.06E+17,Dawgs247
7.06E+17,recruiting
7.06E+17,Dawgs
7.06E+17,Dawgs247
7.06E+17,Dawgs
7.06E+17,recruiting
7.06E+17,Georgia
7.06E+17,Bulldogs
7.06E+17,Georgia
7.06E+17,Georgia
7.06E+17,Georgia
7.06E+17,Bulldogs
7.06E+17,Georgia
7.06E+17,Bulldogs
7.06E+17,football
7.06E+17,Georgia
7.06E+17,softball
7.06E+17,bulldogs
7.06E+17,bulldawg
7.06E+17,Bulldogs
7.06E+17,bulldawg
7.06E+17,Georgia
7.06E+17,softball
7.06E+17,bulldogs
7.06E+17,Georgia
7.06E+17,hair
7.06E+17,hair
7.06E+17,up do
7.06E+17,rap
7.06E+17,Georgia
7.06E+17,Georgia
7.06E+17,Athens
7.06E+17,Georgia
7.06E+17,spring break
