Provenances,created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user__id,user__id_str,user__name,user__screen_name,user__location,user__description,user__url,user__entities__url__urls__url,user__entities__url__urls__expanded_url,user__entities__url__urls__display_url,user__entities__url__urls__indices__001,user__entities__url__urls__indices__002,user__protected,user__followers_count,user__friends_count,user__listed_count,user__created_at,user__favourites_count,user__utc_offset,user__time_zone,user__geo_enabled,user__verified,user__statuses_count,user__lang,user__contributors_enabled,user__is_translator,user__is_translation_enabled,user__profile_background_color,user__profile_background_image_url,user__profile_background_image_url_https,user__profile_background_tile,user__profile_image_url,user__profile_image_url_https,user__profile_banner_url,user__profile_link_color,user__profile_sidebar_border_color,user__profile_sidebar_fill_color,user__profile_text_color,user__profile_use_background_image,user__has_extended_profile,user__default_profile,user__default_profile_image,user__following,user__follow_request_sent,user__notifications,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,entities__user_mentions__screen_name,entities__user_mentions__name,entities__user_mentions__id,entities__user_mentions__id_str,entities__user_mentions__indices__001,entities__user_mentions__indices__002,entities__hashtags__text,entities__hashtags__indices__001,entities__hashtags__indices__002,entities__urls__url,entities__urls__expanded_url,entities__urls__display_url,entities__urls__indices__001,entities__urls__indices__002,entities__media__id,entities__media__id_str,entities__media__indices__001,entities__media__indices__002,entities__media__media_url,entities__media__media_url_https,entities__media__url,entities__media__display_url,entities__media__expanded_url,entities__media__type,entities__media__sizes__|,entities__media__sizes__|__w,entities__media__sizes__|__h,entities__media__sizes__|__resize,extended_entities__media__id,extended_entities__media__id_str,extended_entities__media__indices__001,extended_entities__media__indices__002,extended_entities__media__media_url,extended_entities__media__media_url_https,extended_entities__media__url,extended_entities__media__display_url,extended_entities__media__expanded_url,extended_entities__media__type,extended_entities__media__sizes__|,extended_entities__media__sizes__|__w,extended_entities__media__sizes__|__h,extended_entities__media__sizes__|__resize,favorited,retweeted,possibly_sensitive,lang
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,thumb,150,150,crop,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,340,178,fit,,,,,,,,,,,small,340,178,fit,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,600,313,fit,,,,,,,,,,,medium,600,313,fit,,,,
Twitter Recent Michigan Daily User Tweets,Thu Mar 03 01:55:12 +0000 2016,7.05E+17,7.05E+17,.@umichbaseball splits their first four games in California series. https://t.co/PFyZplZLPA,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,2,umichbaseball,Michigan Baseball,22798877,22798877,1,15,,,,https://t.co/PFyZplZLPA,http://ow.ly/YZaYR,ow.ly/YZaYR,68,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,Wed Mar 02 22:30:45 +0000 2016,7.05E+17,7.05E+17,Flaherty and Thome nab Big Ten honors for @umichwbball. https://t.co/k5LMj3ZIDv,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,3,umichwbball,Michigan Basketball,22643259,22643259,42,54,,,,https://t.co/k5LMj3ZIDv,http://ow.ly/YZaNO,ow.ly/YZaNO,56,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,Wed Mar 02 20:45:36 +0000 2016,7.05E+17,7.05E+17,Personal #Statement: My life as a young dad. https://t.co/ojfKSyMm6l https://t.co/urynE4Kb2p,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,2,,,,,,,Statement,9,19,https://t.co/ojfKSyMm6l,http://ow.ly/YZ9Gp,ow.ly/YZ9Gp,45,68,7.05E+17,7.05E+17,69,92,http://pbs.twimg.com/media/CckhyVYW8AAARbD.jpg,https://pbs.twimg.com/media/CckhyVYW8AAARbD.jpg,https://t.co/urynE4Kb2p,pic.twitter.com/urynE4Kb2p,http://twitter.com/michigandaily/status/705131966434316288/photo/1,photo,large,394,513,fit,7.05E+17,7.05E+17,69,92,http://pbs.twimg.com/media/CckhyVYW8AAARbD.jpg,https://pbs.twimg.com/media/CckhyVYW8AAARbD.jpg,https://t.co/urynE4Kb2p,pic.twitter.com/urynE4Kb2p,http://twitter.com/michigandaily/status/705131966434316288/photo/1,photo,large,394,513,fit,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,340,443,fit,,,,,,,,,,,small,340,443,fit,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,thumb,150,150,crop,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,394,513,fit,,,,,,,,,,,medium,394,513,fit,,,,
Twitter Recent Michigan Daily User Tweets,Wed Mar 02 17:30:33 +0000 2016,7.05E+17,7.05E+17,.@umichwbball opens Big Ten tournament vs. Iowa Thursday. https://t.co/TtDFVVH4g4 https://t.co/igOse7zSdX,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,0,3,umichwbball,Michigan Basketball,22643259,22643259,1,13,,,,https://t.co/TtDFVVH4g4,http://ow.ly/YZadq,ow.ly/YZadq,58,81,7.05E+17,7.05E+17,82,105,http://pbs.twimg.com/media/Ccj1JP8XEAARQFv.jpg,https://pbs.twimg.com/media/Ccj1JP8XEAARQFv.jpg,https://t.co/igOse7zSdX,pic.twitter.com/igOse7zSdX,http://twitter.com/michigandaily/status/705082881836781568/photo/1,photo,large,720,480,fit,7.05E+17,7.05E+17,82,105,http://pbs.twimg.com/media/Ccj1JP8XEAARQFv.jpg,https://pbs.twimg.com/media/Ccj1JP8XEAARQFv.jpg,https://t.co/igOse7zSdX,pic.twitter.com/igOse7zSdX,http://twitter.com/michigandaily/status/705082881836781568/photo/1,photo,large,720,480,fit,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,340,227,fit,,,,,,,,,,,small,340,227,fit,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,600,400,fit,,,,,,,,,,,medium,600,400,fit,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,thumb,150,150,crop,,,,
Twitter Recent Michigan Daily User Tweets,Wed Mar 02 16:17:17 +0000 2016,7.05E+17,7.05E+17,#ICYMI: @umichbball shuts down LeVert for the rest of the season. https://t.co/dyGlswpTKW https://t.co/fhYEiFTnBm,FALSE,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",null,null,null,null,null,11735652,11735652,The Michigan Daily,michigandaily,"Ann Arbor, Michigan","An independent, student-run newspaper serving the University of Michigan and Ann Arbor communities since 1890.",https://t.co/aSqEUPF26U,https://t.co/aSqEUPF26U,http://www.michigandaily.com,michigandaily.com,0,23,FALSE,36662,856,865,Wed Jan 02 01:07:42 +0000 2008,2484,-18000,Eastern Time (US & Canada),TRUE,FALSE,21092,en,FALSE,FALSE,FALSE,2D4066,http://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,https://pbs.twimg.com/profile_background_images/378800000086308372/5a3701b2825aa12142c674ad0a95b907.jpeg,FALSE,http://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_images/661031212337598464/StAKoSz8_normal.jpg,https://pbs.twimg.com/profile_banners/11735652/1443499778,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,null,FALSE,1,0,umichbball,Michigan Basketball,22642626,22642626,8,19,ICYMI,0,6,https://t.co/dyGlswpTKW,http://ow.ly/YZ9Vb,ow.ly/YZ9Vb,66,89,7.05E+17,7.05E+17,90,113,http://pbs.twimg.com/media/CcjkYG9UsAAXOsW.jpg,https://pbs.twimg.com/media/CcjkYG9UsAAXOsW.jpg,https://t.co/fhYEiFTnBm,pic.twitter.com/fhYEiFTnBm,http://twitter.com/michigandaily/status/705064444989186048/photo/1,photo,large,720,480,fit,7.05E+17,7.05E+17,90,113,http://pbs.twimg.com/media/CcjkYG9UsAAXOsW.jpg,https://pbs.twimg.com/media/CcjkYG9UsAAXOsW.jpg,https://t.co/fhYEiFTnBm,pic.twitter.com/fhYEiFTnBm,http://twitter.com/michigandaily/status/705064444989186048/photo/1,photo,large,720,480,fit,FALSE,FALSE,FALSE,en
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumb,150,150,crop,,,,,,,,,,,thumb,150,150,crop,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,340,227,fit,,,,,,,,,,,small,340,227,fit,,,,
Twitter Recent Michigan Daily User Tweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,600,400,fit,,,,,,,,,,,medium,600,400,fit,,,,
